x,y,Exact u,Numerical w,Abs Error
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0
0.25,0.25,6.25,6.25,0.0
0.5,0.25,12.5,12.5,0.0
0.75,0.25,18.75,18.75,0.0
1.0,0.25,25.0,25.0,0.0
0.0,0.5,0.0,0.0,0.0
0.25,0.5,12.5,12.500000000000002,1.7763568394002505e-15
0.5,0.5,25.0,25.000000000000004,3.552713678800501e-15
0.75,0.5,37.5,37.5,0.0
1.0,0.5,50.0,50.0,0.0
0.0,0.75,0.0,0.0,0.0
0.25,0.75,18.75,18.75,0.0
0.5,0.75,37.5,37.5,0.0
0.75,0.75,56.25,56.24999999999999,7.105427357601002e-15
1.0,0.75,75.0,75.0,0.0
0.0,1.0,0.0,0.0,0.0
0.25,1.0,25.0,25.0,0.0
0.5,1.0,50.0,50.0,0.0
0.75,1.0,75.0,75.0,0.0
1.0,1.0,100.0,100.0,0.0
